name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
Döring Media GmbH,,10.0,Video Focus,Berlin,Germany,,2020.0,0,"Wir sind eine kreativ orientierte Produktionsfirma für Bewegtbild, Fotografie & Desig n. Unser In-House-Team besteht aus, im Gegensatz zu vielen anderen Produktionsfirmen, Konzeptern, Producern, Regisseuren, DoP's, Editoren, Designern, Online-Marketern und Projektmanagern. Wir streben nach langlebigem Content, qualitativem Inhalt und einnehmender Ästhetik . Neben unserem festen In-House-Team arbeiten wir mit einem breiten Pool an kreativen Talenten aus der ganzen Welt. Zu unseren Kunden gehören Brands, führende Werbeagenturen, Musik-Labels und viele mehr. Darüber hinaus bieten wir auch Workshops in verschiedenen Kreativ-Bereichen an. Schaut gern mal in unserer Academy vorbei!",English,German,,,,34.0,5.0,4.0,video production,graphic design,photography,digital strategy,motion design,content strategy,social media,marketing,advertising,online advertising,,,,,,,,,,,,,,
Matabi,,3.0,Video Focus,Vienna,Austria,,2022.0,0,Mit über 8 Jahren Erfahrung in der Branche und der Produktion von einigen der ersten TikTok-Kampagnen in Österreich hat MATABI seinen Finger am Puls der Social-Media-Trends. Wir haben die Hochformat Formate erkannt bevor sie die Branche revolutioniert haben. Mit uns arbeiten Sie mit Pionieren und Experten zusammen. Aus der Betreuung von Influencer*innen ergab sich ein Social Media Management für Kunden und daraus wieder rum Performance Marketing. Kurz gesagt: WE LOVE SOCIAL.,English,German,,,,3.0,4.83,3.0,marketing,influencer marketing,social media,community management,video production,online advertising,motion design,email marketing,branding & positioning,copywriting,,,,,,,,,,,,,,
ZBRA,,2.0,Video Focus,Groningen,Netherlands,,2024.0,0,"ZBRA helps organizations acquire new customers, increase brand awareness, and build their brand through video production. With our creativity and filmmaking skills, we provide solutions for a wide range of marketing challenges.",Dutch,English,,,,6.0,5.0,2.0,video production,,,,,,,,,,,,,,,,,,,,,,,
Indie Creative | إندي كرييتف,https://creative-indie.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,25.0,Video Focus,Jeddah,Saudi Arabia,,2021.0,0,"We specialize in crafting unique and compelling visual content that resonates with your audience. Without the spark of creativity, achieving your goals is impossible. That's why we dedicate ourselves to pushing the boundaries and bringing fresh, trendsetting ideas to life. With Indie Creative, your brand will not only meet but exceed expectations, standing out in a crowded marketplace.",Arabic,English,,,,11.0,5.0,7.0,photography,video production,branding & positioning,packaging,3d,media planning,digital strategy,graphic design,advertising,marketing,,,,,,,,,,,,,,
oktopods Agency,https://www.oktopods.de?utm_source=sortlist&utm_medium=profile&utm_campaign=,24.0,Video Focus,Hamburg,Germany,,2022.0,0,"🇩🇪 Wir bringen Marken nach vorn, mit smartem Marketing, Cutting-Edge Tech und KI . Für Erlebnisse, die Menschen begeistern und Marken, die wachsen. Mit der richtigen Mischung aus Strategie , Technologie , Content und Kreativität machen wir Kommunikation wirkungsvoll . Unser Team ist flexibel, arbeitet Hand in Hand oder genau da, wo es gebraucht wird, für starke Ideen, klare Umsetzung und echte Ergebnisse. Ob großes Projekt oder kleine Aufgabe, wir bringen Marken weiter. 🚀 🇬🇧 We take brands to the next level, with smart marketing, cutting-edge tech, and AI . Creating experiences that excite people and help brands grow. With the right mix of strategy, technology, content, and creativity, we make communication impactful . Our team is flexible, working hand in hand or exactly where it’s needed, delivering strong ideas, seamless execution, and real results. Big projects or small tasks, we move brands forward . 🚀",Dutch,English,French,German,Portuguese...,28.0,4.97,10.0,digital strategy,website creation,e-commerce,ergonomy (ux/ui),web application,3d,social media,seo,software development,artificial intelligence,,,,,,,,,,,,,,
FLUID | Video Production Agency,,3.0,Video Focus,Copenhagen,Denmark,,2005.0,0,"FLUID is a boutique Copenhagen and Los Angeles video production company that uses its extensive film and documentary experience to create bespoke content for B2B, B2C, and non-profit clients in Europe, the United States, and worldwide. We specialize in documentary-style brand content, that is, films that build brand awareness by focusing on human stories, an authentic voice, and engaging storytelling. We offer end-to-end video production, from initial strategy through creative development, production, and post-production. We take pride in immersing ourselves in every project to understand our clients' needs and communicate their stories in the simplest, most elegant way possible. Our services include brand films, documentaries & series, customer stories, case studies, profiles, and commercials, as well as raw footage acquisition. We’ve been proud to work with clients as varied as NASA, UCLA, Arturia, Bloomberg, The Bill and Melinda Gates Foundation, Artnet, Hitachi Energy, Hindenburg Systems, and many more.",Danish,English,Spanish,,,18.0,5.0,5.0,video production,,,,,,,,,,,,,,,,,,,,,,,
KEVINDJ Creatives,,2.0,Video Focus,Nkumba,Uganda,,2019.0,0,"We are a creatives Freelance, that specializes in all Creatives services i.e Graphics design, Animations, Adverts, Website and app and many more",English,,,,,8.0,4.58,3.0,website creation,video production,software development,graphic design,branding & positioning,seo,print,motion design,social media,website administration,,,,,,,,,,,,,,
Glasmeyer Branding GmbH,http://www.glasmeyer-branding.de/?utm_source=sortlist&utm_medium=profile&utm_campaign=,20.0,Video Focus,Hamburg,Germany,,1996.0,0,"Wir sind Eure unabhängige Kommunikations- und Designagentur aus dem Herzen Hamburgs. Unseren Kunden bieten wir ein ganzheitliches Spektrum, das deine Marken nachhaltig stärkt. Unser Leistungsangebot reicht von Strategie-Ausarbeitung, über zielgerichtete Awareness-Impulse bis zur ästhetischen Verpackung Deiner Botschaft. Dabei haben wir stets die Bedürfnisse Deiner Zielgruppe im Blick und bringen sie sowohl digital als auch analog zusammen. Unsere Inhouse-Spezialisten-Teams stellen wir passgenau für Deine Projekte zusammen und liefern überzeugende Ergebnisse, auch bei sehr straffen Zeitplänen. Wir lieben, was wir tun. Deshalb stehen wir für umfassenden Service, mit dem Ziel, Deine Bedürfnisse und die Deiner Kunden allumfassend zu erfüllen. Überzeuge Dich selbst!",English,German,,,,34.0,4.95,11.0,branding & positioning,advertising,graphic design,motion design,website creation,social media,3d,print,graphic identity,marketing,,,,,,,,,,,,,,
Big Neurons,,6.0,Video Focus,Arnières-sur-Iton,France,,2023.0,0,"Agence Social Media et Brand Content Nous gérons les réseaux sociaux des marques, avec un triptyque redoutable : - Notre directeur créatif pense vos concepts, votre tonalité et votre stratégie. - Notre directeur artistique cale les formats et l'identité visuelle. - Un de nos community managers produit, publie, interagit et modère votre contenu.",English,French,,,,5.0,5.0,1.0,branding & positioning,digital strategy,video production,social media,e-commerce,website creation,graphic design,community management,graphic identity,advertising,,,,,,,,,,,,,,
Duck.design,https://duck.design?utm_source=sortlist&utm_medium=profile&utm_campaign=,82.0,Video Focus,Greater London,United Kingdom,,2017.0,0,"Your brand designs are too important to be left in the hands of unreliable freelancers or expensive creative agencies. Why not hire an experienced, full-time designer who knows you by name and your brand by heart? Since its creation, Duck.design has been able to capitalize on a number of areas that currently constitute its strength: - Logo, Brand Guide, Style Guide; - Graphic Design; - Web Design; - UI/UX Prototyping; - 3D Design; - Game design; - Explainer Video, 2D Animation, GIF.",English,,,,,15.0,4.7,25.0,graphic design,motion design,website creation,branding & positioning,ergonomy (ux/ui),graphic identity,,,,,,,,,,,,,,,,,,
Counter Collective,http://www.countercontent.nl?utm_source=sortlist&utm_medium=profile&utm_campaign=,12.0,Video Focus,Zaandam,Netherlands,,2012.0,0,"We are Counter Collective We are storymakers, we build stories, we tell stories and we spread stories. Stories that touch, that influence people and move them to action.   Our stories help brands, businesses and other types of organisations with their visibility, customer awareness, and profile building. In short: with tangible results and new business leads. Two agencies in one In 2019 we merged two agencies, counter content & counter creatives, into one. Combining both teams, their experience and their skills. Our agency is led by Raymond Bresching and Barry Menger. It relies on a core team of professionals with decades of combined experience. In addition, the agency has access to a carefully selected pool of preferred professional partners, highly skilled freelancers and seasoned advisors. Counter Content strategy, pr, storytelling, content marketing, communication, content creation, social media, events & workshops. www.countercontent.nl for more information. Counter Creatives strategy, branding, creative concepts, campaigns, visual design, video production, animations, website development & digital marketing. www.countercreatives.nl for more information.",Dutch,English,German,,,29.0,4.74,13.0,public relations (pr),branding & positioning,website creation,advertising,content strategy,social media,mobile app,copywriting,graphic design,graphic identity,,,,,,,,,,,,,,
Baselinks Business Consult,,30.0,Video Focus,Lekki,Nigeria,,2008.0,0,"Baselinks Business Consult is a tightly knit team of professionals whose goal is to deliver superior results no matter the circumstances; the Baselinks team’s primary focus is to creatively provide high-value services within stringent deadlines, no matter the project or client. Our vision is to employ creativity as the primary instrument of success in becoming the premier branding choice globally and leave a positive impact on the world.",English,,,,,,4.5,1.0,branding & positioning,photography,video production,website creation,graphic design,,,,,,,,,,,,,,,,,,,
ARTE INDUSTRIE DESIGN,,5.0,Video Focus,Brazzaville,Congo,,2019.0,0,ARTE INDUSTRIE DESIGN. Est une agence de conception numérique explosive.,English,French,,,,13.0,5.0,1.0,graphic design,video production,,,,,,,,,,,,,,,,,,,,,,
Jotavirtual,,4.0,Video Focus,Barcelona,Spain,,2020.0,0,"Jotavirtual: Soluciones inmersivas en Realidad Virtual y Realidad Aumentada que Transforman Negocios En Jotavirtual, somos especialistas en el diseño y desarrollo de experiencias de realidad virtual (VR) y realidad aumentada (AR) adaptadas a las necesidades específicas de cada industria. Transformamos entornos físicos en espacios virtuales realistas, ofreciendo herramientas tecnológicas que optimizan procesos operativos y proporcionan experiencias memorables para los usuarios. ¿Qué hacemos? Optimización de Procesos: A través de soluciones inmersivas, ayudamos a las empresas a mejorar su eficiencia operativa, permitiéndoles reducir costes y optimizar recursos. Accesibilidad y Concientización: Creamos entornos virtuales que permiten el acceso a áreas restringidas o de difícil acceso, y desarrollamos proyectos de concienciación social para educar y sensibilizar al público. Soluciones de Realidad Aumentada: Contamos con un sistema de navegación basado en realidad aumentada que facilita la orientación y mejora la interacción en espacios físicos. Soluciones a Medida: Diseñamos cada proyecto según las necesidades del cliente, desde simulaciones de alta precisión hasta herramientas de formación inmersivas. Nuestros servicios Entornos virtuales para procesos: Desarrollamos herramientas virtuales que optimizan rutas, mejoran la planificación y permiten gestionar recursos de manera más eficiente. Por ejemplo, en proyectos logísticos, nuestros entornos virtuales han ayudado a reducir tiempos de entrega hasta en un 20%, mejorando la productividad y los resultados. Tours virtuales: Facilitamos el acceso a laboratorios, áreas científicas especializadas, apartamentos premium y hoteles mediante la realidad virtual, permitiendo a los usuarios explorar estos entornos de manera segura y detallada. Estos tours virtuales ofrecen una experiencia realista para potenciales inquilinos o huéspedes, ayudando a tomar decisiones informadas antes de visitar físicamente los espacios. Además, ha sido clave en proyectos como la virtualización de salas blancas para centros de investigación, donde los científicos pueden familiarizarse con las instalaciones sin la necesidad de desplazarse. Espacios virtuales interactivos: Creamos experiencias de concientización sobre temas clave como el cambio climático, utilizando la realidad virtual para transmitir mensajes de manera inmersiva y efectiva. Un ejemplo es nuestro proyecto en el Pantano de Sau, donde desarrollamos un juego interactivo educativo sobre la sequía y el cambio climático. Este juego, dirigido a estudiantes, combina preguntas y respuestas para enseñarles de forma lúdica los impactos del cambio climático en el medio ambiente y las comunidades. Visitas virtuales turísticas: Diseñamos entornos virtuales que permiten a personas con movilidad reducida acceder a áreas físicas que de otro modo serían inaccesibles, como en el caso del Castillo de Almansa, donde visitantes con vértigo o problemas de movilidad pueden explorar la escalera de caracol y las vistas desde la torre de forma segura y cómoda. Casos de éxito: Con más de 200 proyectos entregados, hemos trabajado en colaboraciones innovadoras que han hecho una diferencia real: Instituto de Microelectrónica de Barcelona (IMB-CNM): Hicimos accesible la ""sala blanca"" de este instituto científico, permitiendo la exploración virtual de áreas de alta tecnología restringidas al público general. Creu Roja de Catalunya: Creamos un proyecto de realidad virtual para concientizar sobre la sequía, integrando entornos inmersivos que sensibilizan a las personas sobre la crisis climática y la gestión de recursos hídricos. Ayuntamiento de Almansa: Desarrollamos un proyecto de accesibilidad para personas con movilidad reducida, creando experiencias virtuales que permiten el acceso a áreas históricas o de difícil acceso. Realidad Aumentada para Navegación: Implementamos un sistema de navegación en AR que mejora la experiencia del usuario en espacios complejos, facilitando la orientación y la interacción. ¿Por qué elegir Jotavirtual? Tecnología avanzada: Utilizamos las últimas innovaciones en realidad virtual y aumentada para garantizar soluciones de alto rendimiento, interactivas y completamente personalizadas. Enfoque a medida: Cada proyecto es único. Trabajamos en estrecha colaboración con nuestros clientes para entender sus desafíos y diseñar soluciones que los resuelvan eficazmente. Impacto real: Nos centramos en crear experiencias que no solo sean inmersivas, sino que generen resultados tangibles, ya sea en la optimización de procesos o en la mejora de la accesibilidad. Contáctanos y transforma tu negocio: Estamos listos para ayudarte a descubrir el potencial de la realidad virtual y realidad aumentada en tu industria. Correo: info@jotavirtual.com Teléfono: +34 937 376 275 ¡En Jotavirtual, estaremos encantados de formar parte de tu proyecto y ayudarte a llevar tu negocio al siguiente nivel!",Catalan,English,Spanish,,,15.0,5.0,12.0,3d,innovation,video production,,,,,,,,,,,,,,,,,,,,,
ADSFLO WORLDWIDE,,15.0,Video Focus,Ernakulam,India,,2017.0,0,We are an advertisement production house based in India. We make creative content of every kind.,English,Hindi,,,,38.0,4.92,3.0,video production,photography,advertising,influencer marketing,,,,,,,,,,,,,,,,,,,,
Impulse. Creative Agency,,3.0,Video Focus,Chaponost,France,,2024.0,0,"Nous sommes experts en production audiovisuelle, brand content et stratégie digitale.",English,French,,,,4.0,5.0,1.0,video production,online advertising,branding & positioning,photography,content strategy,social media,digital strategy,advertising,e-commerce,,,,,,,,,,,,,,,
Weblabs-Agentur,,8.0,Video Focus,Sonthofen,Germany,,,0,"In der malerischen Kulisse des Allgäus kreieren wir bei Weblabs digitale Meisterwerke. Unsere Leidenschaft liegt im Schaffen beeindruckender Webseiten, fesselnder E-Commerce-Plattformen und strategischer Online-Marketing-Kampagnen. Dabei steht bei uns eines immer im Fokus: Unseren Kunden Ergebnisse zu liefern die Sie vom Hocker hauen. Mit einem Team von kreativen Köpfen, Brand Strategen, Designern und technischen Genies verbinden wir Ästhetik und Funktion, um digitale Erfolge zu schaffen. Lassen Sie uns gemeinsam Ihre Visionen in die digitale Realität verwandeln – Willkommen bei Weblabs, Ihrer Agentur für digitale Spitzenleistungen. Bei unserer Agentur ist die Kundenzufriedenheit nicht nur ein Mantra, sondern der pulsierende Motor, der unser Schaffen antreibt. Transparent und zielorientiert arbeiten wir mit Hingabe daran, messbaren Erfolg zu schaffen – nicht für uns, sondern für Sie. Unsere Kreativität ist das Schweizer Taschenmesser in unserer Werkzeugkiste, und unser Fachwissen bildet das Fundament, auf dem wir Ihre Visionen aufbauen. Wir sind nicht nur Dienstleister, sondern Ihre Partner auf Augenhöhe. Wir stehen dafür ein, Ihnen nicht bloß das zu bieten, was Sie wünschen, sondern das, was Sie wirklich voranbringt. Wir schrecken nicht vor Herausforderungen zurück; wir laden sie ein, mit uns auf den Ring zu steigen. Unser Rat ist nicht das bequeme Echo Ihrer Gedanken, sondern der inspirierte Funke, der Sie zu neuen Horizonten treibt. Unsere Versprechen sind nicht aufgebläht, sondern solide wie Fels, und unser Handeln ist immer von einem klaren Fokus geleitet: Ihrem Erfolg.",English,German,Turkish,,,5.0,5.0,12.0,website creation,video production,e-commerce,photography,online advertising,branding & positioning,marketing,graphic design,copywriting,seo,,,,,,,,,,,,,,
Underground Production,,2.0,Video Focus,Paris,France,,2022.0,0,"Underground Production est une agence audiovisuelle créative basée à Paris, spécialisée dans la captation live, la production de vidéos et la création de contenu pour les marques et entreprises. Notre mission : transformer vos idées en expériences visuelles engageantes et percutantes. Grâce à notre studio entièrement équipé et une équipe de passionnés, nous accompagnons nos clients à chaque étape de leur projet – de la conception à la post-production. Que ce soit pour des événements en direct, des vidéos corporate, des formats réseaux sociaux, ou des podcasts, nous offrons des solutions sur-mesure pour répondre aux besoins spécifiques de chaque client. Nous croyons en la puissance de l’image pour renforcer l'impact et la visibilité des marques, en mettant notre expertise au service de contenus captivants et de haute qualité. Underground Production - Transformez votre vision en réalité audiovisuelle.",English,French,Spanish,,,7.0,5.0,1.0,video production,game development,community management,social media,artificial intelligence,branding & positioning,ergonomy (ux/ui),,,,,,,,,,,,,,,,,
Asteraki Agency,,20.0,Video Focus,New York,United States,,2018.0,0,"Asteraki is a global video production company dedicated to bringing business stories to life with creativity and precision. We specialize in corporate videos, event coverage, client testimonials, product demos, and B2B campaigns. Serving industries like technology, SaaS, retail, and professional services, we deliver content that aligns with your goals and engages your audience. From the streets of Paris to the innovation hubs of San Francisco, London, Sydney, and beyond, our team ensures your brand's story shines wherever you are. With expertise in storytelling and a commitment to fast turnarounds, Asteraki is your partner in creating impactful videos that inspire and drive results. Wherever your business thrives, we’re here to capture it.",Arabic,Chinese,English,French,Italian...,21.0,5.0,18.0,video production,,,,,,,,,,,,,,,,,,,,,,,
Innovdex Technologies e.U.,,12.0,Video Focus,Lützelbach,Germany,,2022.0,0,"Innovdex Technologies ist ein Unternehmen in den Bereichen Software- und Webentwicklung, Marketing und Design . Mit einem innovativen Ansatz und modernster Technologie bieten wir maßgeschneiderte Lösungen , die perfekt auf die individuellen Bedürfnisse unserer Kunden abgestimmt sind. Unser Team aus erfahrenen Entwicklern und kreativen Designern erstellt leistungsstarke Softwarelösungen , benutzerfreundliche Webseiten und effektive Marketingstrategien , um Unternehmen dabei zu helfen, ihre Ziele zu erreichen und in der digitalen Welt erfolgreich zu sein. Bei Innovdex Technologies setzen wir auf Qualität , Innovation und Kundenzufriedenheit – für Ihren Erfolg in einer sich ständig weiterentwickelnden digitalen Landschaft.",English,German,,,,,5.0,3.0,website creation,video production,web application,software development,marketing,,,,,,,,,,,,,,,,,,,
lehof GmbH,https://lehof.de/?utm_source=sortlist&utm_medium=profile&utm_campaign=,22.0,Video Focus,Munich,Germany,,2020.0,0,"lehof is a creative consultancy dedicated to elevating brands . We work with ambitious clients who seek more than just campaigns—they want meaningful, transformative strategies that create lasting impact. From global leaders like Huawei to iconic names such as Dr. Hauschka , we’ve crafted campaigns that resonate across markets. Our work includes guiding brands like D.O. Rueda , Spain’s globally best-selling white wine, and helping Paulaner Spezi , Germany’s favorite soft drink mix, successfully adapt and launch as Paulaner Sunset in the U.S. This blend of creativity and consultancy ensures we don’t just deliver campaigns—we deliver growth. Our expertise lies in reinvigorating brands, crafting narratives that connect, and creating bold, memorable executions tailored to each market. Our founders, Jonas Lembeck and Philip Hofmann, are driven by a simple yet powerful principle: every brand holds untapped potential. At lehof, we elevate brands by crafting the right ideas and executing them flawlessly on the perfect platform.",Dutch,English,French,German,Spanish,14.0,5.0,8.0,social media,digital strategy,video production,advertising,influencer marketing,community management,media planning,content strategy,online advertising,branding & positioning,,,,,,,,,,,,,,
4HK,https://www.4hk.com.hk/?utm_source=sortlist&utm_medium=profile&utm_campaign=,10.0,Video Focus,Hong Kong Island,Hong Kong,,2013.0,0,"4HK- For Hong Kong, is an experiencial agency that provides digital marketing services and consultation for our clients & brands. With a proven track record and reputation in the industry, we grow together with our client's business through data and providing insights for them reach their KPIs and achieve success. At 4HK we focus on solving our client’s problems through performance & creative solutions. ​ 4HK is not just any digital marketing agency, we have built an extensive network or communities across various industries and channels. We engaged deeply with our clients with dedication and strive to innovate and stay ahead of the competition Get in Touch with us and Watch Your Business GROW!",Chinese,English,,,,10.0,4.79,12.0,seo,online advertising,website creation,digital strategy,branding & positioning,content strategy,public relations (pr),event,social media,web application,,,,,,,,,,,,,,
Soulglo Studio,,3.0,Video Focus,Cologne,Germany,,2015.0,0,"Soulglo ist eine Video Produktion aus Köln. Wir entwickeln und produzieren maßgeschneiderte Videos, die individuell auf die Anforderungen unserer Kunden abgestimmt sind. Ob Imagefilm, Recruiting-Video, Branding- oder Social-Media-Content – wir packen die Botschaften unserer Kunden in bewegte Bilder, die nicht nur hochwertig aussehen, sondern auch hängenbleiben und Marken lebendig machen.",English,German,Vietnamese,,,1.0,5.0,2.0,video production,motion design,,,,,,,,,,,,,,,,,,,,,,
Visual VR Producciones,,5.0,Video Focus,Madrid,Spain,,2017.0,0,"¡Hola! Somos Visual VR Producciones, aliados creativos en este loco mundo del audiovisual. ( https://www.visual-vr.com/ ) Ponemos el corazón y perfección en cada plano (lo que hacemos lo hacemos bien) tratamos desde la idea creativa hasta la producción audiovisual final, nos ocupamos de la dirección de fotografía, desarrollo de guiones, dirección de arte y motion graphics. Con estudio propio, somos una productora audiovisual solvente con amplia experiencia colaborando con marcas de todos los tamaños nos ha enseñado a crear contenidos impactantes para cualquier plataforma. Nos adaptamos fácilmente a los desafíos y siempre estamos al tanto de las últimas tendencias, asegurando que cada producción hermosa en el color y entretenida en su storytelling, Porque en Visual VR, sabemos que el corazón de una gran campaña es un contenido excepcional.",English,Spanish,,,,19.0,4.88,13.0,video production,advertising,photography,motion design,content strategy,,,,,,,,,,,,,,,,,,,
Ohana,,3.0,Video Focus,Antwerp,Belgium,,2020.0,0,"Bij Ohana brengen we verhalen tot leven met krachtige visuele content. Als creatieve contentstudio uit Antwerpen specialiseren we ons in videoproductie, motion design en social media content die merken helpt opvallen. Ons team combineert creativiteit met strategie om content te creëren die inspireert, engageert en een blijvende indruk maakt. Van dynamische brandvideo’s en boeiende animaties tot social media campagnes die echt werken – wij zorgen ervoor dat jouw verhaal op de juiste manier verteld wordt. Of je nu je merkidentiteit wilt versterken, een product in de kijker wilt zetten of de sfeer van een event wilt vastleggen, wij maken content die raakt.",Dutch,English,,,,6.0,4.83,3.0,motion design,video production,photography,3d,content strategy,social media,branding & positioning,advertising,graphic design,marketing,,,,,,,,,,,,,,
Design Force,,50.0,Video Focus,Irvine,United States,,2020.0,0,"Design Force is a subscription-based, on-demand design company that introduces an easier, more cost-effective way to outsource design. With a world-class talent pool and a hassle-free process, we provide fast-growing companies and agencies a better alternative to hiring or messy freelance markets. Our designers are skilled in a broad range of design services, like UI/UX, branding, marketing and brand assets, social media, presentations, packaging, illustrations, and more.",English,,,,,6.0,5.0,1.0,graphic design,packaging,social media,video production,event,print,,,,,,,,,,,,,,,,,,
Echocom,,22.0,Video Focus,Tunis,Tunisia,,2020.0,0,"ECHOCOM A POUR FONCTION D’ACCOMPAGNER LES ENTREPRISES DANS LA CRÉATION ET LE DÉVELOPPEMENT DE LEUR COMMUNICATION EN INTERNE ET À L’EXTERNE Echocom Agence de conseil en communication propose des services ponctuels et conformes à notre stratégie 360°. Notre offre comprend des solutions inventives et sur mesure, adaptées à l’identité et à l’objectif de chaque marque. Passion A Echocom, la passion est notre principal moteur. C’est ce qui nous pousse à nous surpasser et à relever de nouveaux défis. Il s’agit de l’engagement et du dévouement de l’équipe, de l’enthousiasme à faire quelque chose qui créé la différence. Nous visons le dépassement systématique des attentes des clients. Confiance A Echocom, la confiance repose sur la qualité des relations. Vous apporter le meilleur dans notre engagement, notre qualité de services, nos compétences, et dans chaque mission que vous nous confiez, est une responsabilité essentielle qui nous anime. Qualité A Echocom, nous mettons notre expérience et savoir-faire à votre disposition. Nous innovons constamment pour apporter toujours plus de satisfaction à nos clients. Nous élevons la barre en privilégiant la qualité, afin de dépasser les attentes des clients. Nous serons toujours présents pour surveiller votre succès.",Arabic,English,French,,,129.0,4.95,14.0,public relations (pr),event,marketing,corporate communication,video production,,,,,,,,,,,,,,,,,,,
Club de Marketing,,10.0,Video Focus,Buenos Aires,Argentina,,1999.0,0,"Somos una Agencia de Marketing y Comunicación que trabaja activamente junto a sus clientes desde el año 1999. Desde entonces, apoyamos las acciones comerciales y los departamentos de marketing de grandes y medianas empresas, aportando todos los conocimientos, creatividad y dinamismo que la profesión y la experiencia nos brindan. Nos enfocamos en la realización de acciones B2B, ofreciendo para ello nuevas herramientas que permitan el continuo y exitoso desarrollo de tu actividad.",English,Spanish,,,,2.0,5.0,2.0,marketing,branding & positioning,graphic design,video production,graphic identity,market research,,,,,,,,,,,,,,,,,,
HiveDigit,http://hivedigit.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,23.0,Video Focus,Bordj El Kiffan,Algeria,,2016.0,0,"HiveDigit pilots your digital transformation and helps you reach your objectives. With an ROI-centered strategy, we offer all our expertise in digital creations in order for your business to grow and increase market share. HiveDigit leverages talent organized by complementary pools of competencies that collaborate to deliver outstanding results using the latest tools and technology available to customize to client's needs.",Arabic,English,French,,,41.0,4.74,18.0,digital strategy,graphic design,website creation,e-commerce,branding & positioning,social media,copywriting,video production,graphic identity,marketing,,,,,,,,,,,,,,
Creative Animals,,6.0,Video Focus,Dubai,United Arab Emirates,,2016.0,0,"A creative+production agency with multiple disciplines that span across photo, video, social, brand development and immersive experiences. We fuse all your creative needs into multimedia executions for today's omni-channel world. Our team comprises of creative advertising, production and digital specialists whom work together to solve our challenges with wild ideas.",Arabic,English,,,,7.0,5.0,1.0,branding & positioning,social media,3d,photography,video production,advertising,graphic design,,,,,,,,,,,,,,,,,
BrandSphere,,20.0,Video Focus,Casablanca,Morocco,,2021.0,0,"🚀 BrandSphere : Propulsez Votre Entreprise avec un Marketing Digital Performant Chez BrandSphere , nous excellons dans la génération de leads, la croissance des marques et l’optimisation des conversions grâce à des stratégies avancées de marketing digital et des campagnes publicitaires percutantes. En tant qu’agence de marketing digital leader au Maroc, nous aidons les entreprises à développer leur présence en ligne, attirer des leads qualifiés et obtenir des résultats mesurables. 🔥 Nos Services Clés ✅ Génération de Leads et Optimisation des Conversions Nous concevons des tunnels de vente ciblés et menons des campagnes publicitaires basées sur la data pour transformer les visiteurs en clients fidèles. ✅ Publicité sur les Réseaux Sociaux Nos experts créent des campagnes stratégiques sur Facebook, Instagram et Google Ads pour maximiser votre visibilité et garantir un ROI élevé. ✅ Création de Funnels de Vente Nous développons des tunnels de vente optimisés pour le marché marocain afin de convertir efficacement vos prospects en acheteurs. ✅ SEO Local et Gestion Google My Business Améliorez votre visibilité locale avec notre expertise en référencement et en optimisation Google My Business pour apparaître en tête des recherches au Maroc. ✅ Création et Optimisation de Sites Web Nous concevons des sites web modernes, optimisés pour le référencement et offrant une expérience utilisateur fluide pour améliorer votre positionnement en ligne. ✅ Création de Contenu Nous produisons des visuels captivants, des publications engageantes et des collaborations avec des influenceurs pour amplifier votre message de marque. ✅ Publicité Vidéo Professionnelle Captez l’attention de votre audience avec des publicités vidéo percutantes sur YouTube, Instagram et Facebook pour booster votre impact. 🎯 Pourquoi Choisir BrandSphere ? 🚀 Expertise Approfondie du Marché Marocain Nous adaptons nos stratégies aux tendances économiques et culturelles du Maroc pour des campagnes plus performantes. 📈 Excellence en Marketing Digital De la génération de leads au SEO et à la publicité, nous aidons les entreprises à dominer leur secteur. 📊 Approche Basée sur les Données Chaque décision est guidée par des analyses précises pour maximiser votre ROI et obtenir des résultats concrets. 🌍 Transformez Votre Présence en Ligne avec BrandSphere Prêt à faire passer votre entreprise au niveau supérieur au Maroc ? Faites équipe avec BrandSphere pour une génération de leads optimisée, des campagnes publicitaires percutantes et des stratégies digitales innovantes. 🎁 Audit et Consultation Offerts : Découvrez les opportunités de croissance pour votre marque et mettons en place ensemble une stratégie sur-mesure pour votre succès. 📩 Contactez-nous dès aujourd’hui et propulsez votre marque vers de nouveaux sommets 🚀 !",Arabic,English,French,German,Spanish,10.0,5.0,1.0,community management,marketing,advertising,online advertising,seo,social media,branding & positioning,graphic design,graphic identity,web application,,,,,,,,,,,,,,
